,,PCT_CHG
2018-01-31,002241.SZ,-19.308357348703186
2017-07-31,002049.SZ,-19.305645684620366
2015-05-29,600048.SH,-19.305277221108884
2015-07-31,601169.SH,-19.302186492898755
2015-09-30,601989.SH,-19.274193548387096
2021-03-31,600309.SH,-19.26605504587158
2021-07-30,002027.SZ,-19.257549499203176
2015-07-31,600600.SH,-19.25737213974241
2013-06-28,600741.SH,-19.254658385093173
2020-09-30,002044.SZ,-19.248291571753974
2021-07-30,000895.SZ,-19.24528301886793
2015-01-30,601668.SH,-19.23076923076924
2010-06-30,600872.SH,-19.21348314606741
2015-07-31,600999.SH,-19.19879062736206
2011-09-30,002044.SZ,-19.185185185185183
2013-03-29,600837.SH,-19.18465227817746
2015-07-31,600845.SH,-19.18269905912091
2018-06-29,601111.SH,-19.181818181818166
2012-11-30,600233.SH,-19.165727170236735
2020-03-31,002050.SZ,-19.164989939637834
2018-10-31,600848.SH,-19.15089986155977
2011-11-30,600585.SH,-19.146825396825395
2010-12-31,000977.SZ,-19.126896041435447
2017-05-31,601727.SH,-19.121140142517824
2013-04-26,600143.SH,-19.11111111111111
2015-07-31,601788.SH,-19.109461966604822
